x,y,z
1112.278,830.708,1
1110.089,832.030,1
1110.089,832.030,1
1108.987,830.441,1
1106.535,831.087,1
1104.895,829.165,1
1102.762,830.002,1
1102.762,830.002,1
1101.273,827.600,1
1098.970,827.803,1
1097.048,825.427,1
1094.277,826.007,1
1094.277,826.007,1
1093.109,823.839,1
1089.507,824.101,1
1089.292,822.289,1
1089.292,822.289,1
1085.891,823.579,1
1085.064,822.098,1
1083.038,823.385,1
1083.458,820.844,1
1083.458,820.844,1
1080.199,819.573,1
1079.667,817.386,1
1078.186,820.047,1
1078.186,820.047,1
1077.365,819.310,1
1076.618,821.085,1
1076.445,819.222,1
1074.076,819.817,1
1074.076,819.817,1
1073.503,817.812,1
1070.880,817.264,1
1070.931,814.747,1
1070.931,814.747,1
1068.373,813.678,1
1070.523,811.668,1
1069.175,810.614,1
1071.093,809.279,1
1071.093,809.279,1
1068.273,808.685,1
1068.040,806.885,1
1066.681,807.432,1
1068.162,806.179,1
1068.162,806.179,1
1066.092,806.364,1
1065.422,804.913,1
1063.108,806.375,1
1063.108,806.375,1
1060.894,805.469,1
1060.728,809.420,1
1058.304,809.022,1
1057.547,811.036,1
1057.547,811.036,1
1055.573,809.158,1
1055.791,811.105,1
1055.478,809.390,1
1055.478,809.390,1
1053.571,810.503,1
1051.246,808.108,1
1049.149,809.752,1
1049.149,809.752,1
1047.429,808.325,1
1044.560,809.247,1
1043.319,807.398,1
1040.501,807.968,1
1040.501,807.968,1
1039.923,805.964,1
1036.971,804.308,1
1036.768,801.840,1
1034.800,800.435,1
1034.800,800.435,1
1033.841,797.927,1
1031.500,797.756,1
1029.768,794.879,1
1029.768,794.879,1
1027.368,794.852,1
1026.549,793.375,1
1023.736,793.376,1
1022.585,791.270,1
1022.585,791.270,1
1019.876,792.235,1
1019.003,790.129,1
1016.658,790.692,1
1015.515,788.743,1
1015.515,788.743,1
1012.681,789.201,1
1011.937,787.267,1
1009.730,788.293,1
1009.129,786.422,1
1009.129,786.422,1
1006.988,786.847,1
1005.900,784.970,1
1003.898,785.849,1
1003.246,784.242,1
1003.246,784.242,1
1000.783,784.393,1
1000.440,783.058,1
998.762,783.761,1
998.762,783.761,1
998.135,781.809,1
994.915,782.467,1
992.432,781.203,1
992.179,783.371,1
992.179,783.371,1
991.543,782.260,1
989.574,783.791,1
989.256,782.042,1
989.256,782.042,1
986.582,782.266,1
985.741,779.878,1
983.004,780.115,1
981.795,778.268,1
981.795,778.268,1
979.211,778.484,1
978.400,776.762,1
976.675,776.722,1
975.729,774.794,1
975.729,774.794,1
973.504,775.176,1
971.559,773.129,1
968.972,774.316,1
968.972,774.316,1
966.761,772.305,1
964.272,774.094,1
962.571,772.616,1
959.765,774.239,1
959.765,774.239,1
958.114,772.321,1
955.068,773.791,1
954.151,771.620,1
953.175,772.917,1
953.175,772.917,1
952.114,771.184,1
948.879,772.058,1
949.205,769.764,1
949.205,769.764,1
946.798,768.666,1
947.127,765.891,1
944.787,765.786,1
944.213,763.912,1
944.213,763.912,1
941.926,763.144,1
941.122,761.601,1
939.128,761.789,1
937.089,759.468,1
937.089,759.468,1
935.485,760.707,1
934.351,758.801,1
933.049,760.342,1
933.049,760.342,1
932.151,758.552,1
929.904,760.165,1
929.868,758.534,1
927.988,759.032,1
927.988,759.032,1
926.691,757.130,1
924.575,758.379,1
923.265,756.055,1
921.730,756.867,1
921.730,756.867,1
919.972,755.289,1
918.155,757.313,1
916.792,755.820,1
916.792,755.820,1
915.086,757.233,1
913.288,756.741,1
912.418,759.421,1
910.985,759.665,1
910.985,759.665,1
909.639,761.501,1
908.086,761.105,1
905.962,762.217,1
904.536,760.998,1
904.536,760.998,1
902.604,762.867,1
901.143,762.621,1
900.330,763.761,1
899.060,762.784,1
899.060,762.784,1
898.280,764.781,1
897.005,764.387,1
895.568,766.229,1
895.568,766.229,1
894.184,765.495,1
891.468,766.336,1
889.874,764.843,1
887.433,765.756,1
887.433,765.756,1
886.375,764.414,1
883.073,765.341,1
881.086,763.843,1
879.547,765.130,1
879.547,765.130,1
878.164,764.026,1
875.928,765.373,1
875.516,763.680,1
875.516,763.680,1
872.724,763.810,1
872.182,762.117,1
869.629,761.896,1
869.518,760.111,1
869.518,760.111,1
865.957,758.507,1
865.226,756.026,1
862.485,754.765,1
860.397,751.666,1
860.397,751.666,1
856.222,749.885,1
855.874,747.415,1
851.643,745.783,1
851.643,745.783,1
851.515,743.934,1
850.614,743.513,1
850.614,743.513,1
850.614,743.513,1
850.834,742.851,1
853.027,740.762,1
852.208,738.154,1
853.742,736.349,1
853.742,736.349,1
853.325,733.519,1
855.195,732.449,1
855.510,730.366,1
855.510,730.366,1
857.448,730.673,1
858.522,728.456,1
859.204,728.063,1
859.204,728.063,1
857.392,727.756,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.429,728.819,1
857.408,728.170,1
857.745,726.512,1
856.001,724.422,1
856.001,724.422,1
858.674,722.615,1
859.100,720.293,1
861.881,719.620,1
860.516,717.838,1
860.516,717.838,1
861.873,715.941,1
860.298,715.395,1
862.627,713.050,1
862.627,713.050,1
861.026,712.788,1
860.225,709.959,1
857.351,710.549,1
856.635,708.494,1
856.635,708.494,1
854.363,710.578,1
854.640,707.223,1
852.434,708.170,1
852.434,708.170,1
851.533,705.303,1
849.660,705.783,1
848.900,703.289,1
846.450,704.521,1
846.450,704.521,1
845.661,702.165,1
843.241,703.279,1
842.690,700.787,1
842.690,700.787,1
840.175,702.058,1
839.383,699.430,1
836.600,700.281,1
835.875,697.662,1
835.875,697.662,1
833.343,698.754,2
832.247,695.674,2
829.661,696.682,2
829.661,696.682,2
829.292,693.753,2
826.436,694.322,2
826.180,691.503,2
823.442,692.004,2
831.082,712.303,2
830.985,708.277,2
827.935,709.128,2
827.935,709.128,2
827.255,706.680,2
824.572,707.156,2
824.213,704.794,2
824.213,704.794,2
821.325,706.251,2
821.305,703.594,2
819.829,703.977,2
819.829,703.977,2
820.391,701.413,2
819.520,700.913,2
819.291,698.975,2
816.085,697.803,2
816.085,697.803,2
815.746,696.688,2
815.746,696.688,2
815.856,696.040,2
816.971,695.222,2
814.705,691.343,2
816.298,690.410,2
816.298,690.410,2
816.492,687.810,2
818.584,688.077,2
820.091,686.658,2
822.204,687.456,2
822.204,687.456,2
824.783,687.656,2
826.528,689.002,2
829.170,688.956,2
830.594,690.486,2
830.594,690.486,2
833.598,690.130,2
834.660,692.144,2
836.934,691.744,2
837.346,693.987,2
837.346,693.987,2
839.485,694.361,2
840.240,697.482,2
842.624,697.533,2
843.088,699.591,2
843.088,699.591,2
845.723,699.767,2
846.118,702.141,2
848.413,701.814,2
848.413,701.814,2
849.439,704.235,2
851.907,703.465,2
852.640,705.287,2
854.878,705.103,2
854.878,705.103,2
856.283,707.246,2
859.364,707.050,2
861.750,708.932,2
864.487,708.561,2
864.487,708.561,2
866.742,710.196,2
869.476,709.518,2
870.764,711.194,2
873.305,710.478,2
873.305,710.478,2
874.698,712.243,2
877.277,712.048,2
878.210,713.907,2
878.210,713.907,2
881.059,713.638,2
882.399,715.310,2
884.764,714.751,2
885.634,716.183,2
885.634,716.183,2
887.819,715.020,2
888.872,716.540,2
891.617,716.183,2
891.653,718.066,2
891.653,718.066,2
894.511,718.822,2
894.572,720.252,2
896.876,721.731,2
897.083,723.441,2
897.083,723.441,2
900.112,725.358,2
900.609,727.157,2
903.456,729.607,2
903.460,731.160,2
903.460,731.160,2
905.488,733.667,2
905.829,735.662,2
907.613,737.883,2
907.655,740.543,2
907.655,740.543,2
909.702,742.810,2
908.454,745.055,2
910.079,746.358,2
910.079,746.358,2
908.725,746.891,2
909.613,748.692,2
908.188,749.789,2
909.411,751.851,2
909.411,751.851,2
907.824,752.676,2
908.322,755.178,2
906.416,756.493,2
906.720,759.205,2
906.720,759.205,2
904.548,760.093,2
903.948,762.320,2
901.522,763.019,2
901.033,765.510,2
901.033,765.510,2
898.774,765.774,2
898.432,768.271,2
896.281,768.703,2
896.281,768.703,2
897.000,771.386,2
895.746,771.275,2
893.939,773.246,2
892.369,771.673,2
892.369,771.673,2
890.192,772.826,2
888.553,771.448,2
886.375,772.341,2
884.166,771.202,2
884.166,771.202,2
881.480,772.533,2
880.210,771.498,2
877.482,772.264,2
877.482,772.264,2
875.520,770.872,2
872.425,771.555,2
871.278,769.497,2
869.082,770.277,2
869.082,770.277,2
868.255,768.405,2
865.478,768.756,2
864.725,766.987,2
861.589,766.514,2
861.589,766.514,2
861.263,765.354,2
858.643,765.576,2
857.517,763.840,2
854.955,764.933,2
854.955,764.933,2
853.490,763.147,2
851.162,764.595,2
850.361,762.005,2
850.361,762.005,2
847.614,762.707,2
845.955,760.924,2
843.885,761.933,2
842.859,760.359,2
842.859,760.359,2
840.313,761.250,2
839.500,759.722,2
836.571,760.327,2
834.288,758.145,2
834.288,758.145,2
832.099,759.086,2
833.150,757.167,2
830.831,756.944,2
830.831,756.944,2
830.090,755.284,2
827.611,756.200,2
825.730,754.719,2
823.724,756.120,2
823.724,756.120,2
822.146,754.780,2
820.521,757.163,2
818.524,756.626,2
816.138,757.930,2
816.138,757.930,2
814.536,756.416,2
812.174,757.454,2
810.630,755.808,2
807.853,756.432,2
807.853,756.432,2
806.001,754.381,2
803.162,755.500,2
801.209,754.090,2
801.209,754.090,2
798.832,755.540,2
796.532,754.824,2
795.000,756.794,2
793.166,755.346,2
793.166,755.346,2
791.698,756.976,2
789.260,755.945,2
788.141,757.898,2
785.790,757.274,2
785.790,757.274,2
784.796,759.514,2
782.861,759.771,2
781.759,762.089,2
779.421,762.136,2
779.421,762.136,2
777.785,764.309,2
775.393,763.836,2
773.793,765.810,2
771.509,765.502,2
771.509,765.502,2
769.981,767.912,2
767.275,767.483,2
766.032,769.916,2
766.032,769.916,2
764.480,768.571,2
763.366,769.821,2
760.848,769.719,2
760.134,772.482,2
760.134,772.482,2
757.832,772.982,2
758.257,776.197,2
756.715,777.109,2
757.611,780.197,2
757.611,780.197,2
756.295,779.850,2
755.932,782.073,2
754.018,782.066,2
754.018,782.066,2
753.338,784.162,2
751.141,784.092,2
750.073,786.521,2
747.846,786.054,2
747.846,786.054,2
745.647,787.941,2
743.648,785.680,2
742.132,787.116,2
740.830,785.760,2
740.830,785.760,2
738.101,786.522,2
737.393,785.652,2
737.393,785.652,2
738.872,787.081,2
740.112,784.534,2
739.767,785.891,2
739.813,784.810,2
739.813,784.810,2
739.633,785.675,2
740.321,784.266,2
739.779,785.345,2
740.621,783.842,2
740.621,783.842,2
740.438,784.728,2
741.331,783.507,2
741.754,785.485,2
742.352,783.451,2
742.352,783.451,2
742.538,782.003,2
742.258,783.043,2
742.939,781.857,2
742.939,781.857,2
742.338,790.705,1
743.394,790.244,1
743.114,791.521,1
743.360,790.217,1
743.360,790.217,1
743.324,791.284,1
743.954,789.230,1
744.497,789.675,1
742.388,788.721,1
742.388,788.721,1
741.159,790.148,1
738.366,792.025,1
739.430,793.605,1
739.347,795.316,1
726.464,797.472,1
727.732,798.442,1
727.939,799.908,1
727.939,799.908,1
729.388,798.693,1
728.544,799.357,1
729.285,797.788,1
728.103,799.157,1
728.103,799.157,1
728.346,798.264,1
727.500,799.330,1
727.836,798.357,1
727.186,799.253,1
727.186,799.253,1
728.011,797.238,1
725.694,796.988,1
726.915,795.953,1
727.325,796.850,1
727.325,796.850,1
730.230,797.276,1
730.447,799.205,1
733.360,800.374,1
732.217,801.659,1
732.217,801.659,1
733.702,803.027,1
730.295,803.691,1
731.401,805.268,1
730.807,806.320,1
730.807,806.320,1
732.762,808.166,1
731.722,809.082,1
731.348,811.358,1
729.488,811.014,1
729.488,811.014,1
727.702,812.712,1
725.919,811.187,1
724.061,812.619,1
722.331,811.721,1
722.331,811.721,1
720.766,813.606,1
718.786,812.215,1
717.030,813.903,1
715.159,812.777,1
715.159,812.777,1
713.476,814.130,1
711.205,812.668,1
709.201,814.144,1
707.377,813.579,1
707.377,813.579,1
705.977,815.662,1
704.841,814.812,1
703.776,816.463,1
703.189,815.468,1
703.189,815.468,1
701.682,817.506,1
700.430,816.726,1
699.098,818.499,1
697.204,817.787,1
697.204,817.787,1
695.728,819.200,1
694.239,818.093,1
