x,y,z
859.360,735.307,1
861.352,734.098,1
861.620,731.682,1
863.919,732.023,1
863.919,732.023,1
864.237,728.596,1
864.596,727.961,1
864.596,727.961,1
862.746,727.578,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.767,728.643,1
862.747,727.994,1
862.933,725.968,1
862.933,725.968,1
860.801,723.700,1
862.791,722.243,1
863.056,719.983,1
863.056,719.983,1
864.757,719.177,1
863.301,717.331,1
863.979,715.366,1
863.979,715.366,1
862.320,714.834,1
864.190,712.358,1
864.190,712.358,1
862.606,712.056,1
861.704,709.203,1
858.841,709.810,1
858.841,709.810,1
858.116,707.758,1
855.925,709.846,1
856.197,706.458,1
856.197,706.458,1
853.931,707.447,1
852.753,704.702,1
850.605,705.333,1
850.605,705.333,1
849.467,703.040,1
846.862,704.368,1
845.988,702.076,1
845.988,702.076,1
843.527,703.243,1
842.899,700.749,1
840.202,702.207,1
840.202,702.207,1
839.371,699.594,1
836.510,700.523,1
835.201,697.902,2
835.201,697.902,2
832.979,698.558,2
831.951,695.909,2
829.968,696.592,2
829.968,696.592,2
829.532,693.750,2
826.827,694.098,2
826.827,694.098,2
826.180,691.394,2
823.516,691.741,2
822.775,689.346,2
822.775,689.346,2
820.167,689.596,2
831.224,712.248,2
830.980,708.130,2
828.228,708.605,2
827.765,706.236,2
824.434,707.601,2
824.434,707.601,2
823.926,704.912,2
821.414,705.367,2
821.143,702.651,2
819.946,702.940,2
820.265,701.636,2
820.265,701.636,2
818.980,704.141,2
819.557,704.476,2
819.828,704.313,2
820.784,703.353,2
820.784,703.353,2
819.481,701.455,2
821.254,700.732,2
821.011,698.185,2
823.102,697.836,2
823.665,695.079,2
825.625,695.169,2
826.943,693.337,2
828.748,694.160,2
830.285,692.110,2
831.554,693.131,2
831.554,693.131,2
834.190,691.934,2
835.353,693.730,2
837.623,693.113,2
838.172,695.321,2
840.364,695.533,2
841.379,698.632,2
843.796,698.492,2
844.432,700.540,2
847.113,700.506,2
847.113,700.506,2
847.703,702.878,2
850.001,702.364,2
851.235,704.732,2
851.235,704.732,2
853.672,703.755,2
854.560,705.541,2
856.811,705.176,2
856.811,705.176,2
857.765,707.285,2
860.631,706.895,2
861.878,708.834,2
861.878,708.834,2
864.435,708.551,2
866.083,710.250,2
868.801,709.469,2
868.801,709.469,2
869.980,711.155,2
872.497,710.408,2
873.734,712.207,2
873.734,712.207,2
876.313,712.033,2
877.280,714.017,2
880.230,713.740,2
880.230,713.740,2
881.571,715.414,2
884.068,714.863,2
884.901,716.345,2
884.901,716.345,2
887.081,715.216,2
888.140,716.740,2
890.977,716.306,2
890.977,716.306,2
891.047,718.142,2
893.952,718.892,2
894.059,720.319,2
894.059,720.319,2
896.522,721.847,2
896.806,723.617,2
899.821,725.325,2
899.821,725.325,2
900.681,727.290,2
903.423,729.643,2
903.307,731.101,2
903.307,731.101,2
905.243,733.535,2
905.319,735.417,2
907.338,737.745,2
907.247,740.183,2
909.401,742.381,2
908.126,744.554,2
909.689,745.760,2
909.689,745.760,2
908.352,746.284,2
909.224,748.058,2
907.867,749.110,2
909.085,751.209,2
907.559,751.908,2
908.114,754.379,2
908.114,754.379,2
906.275,755.789,2
906.534,758.583,2
904.339,759.464,2
904.339,759.464,2
903.780,761.702,2
